Provincia;Cantón;POP_INDIGENA
IMBABURA;SAN MIGUEL DE URCUQUI;4%
EL ORO;LAS LAJAS;0%
MANABI;ROCAFUERTE;0%
AZUAY;CHORDELEG;0%
EL ORO;MACHALA;1%
CARCHI;TULCAN;7%
CARCHI;ESPEJO;2%
MANABI;PORTOVIEJO;0%
GUAYAS;DURAN;4%
MANABI;MANTA;0%
COTOPAXI;LATACUNGA;14%
EL ORO;CHILLA;0%
EL ORO;PORTOVELO;0%
TUNGURAHUA;QUERO;1%
TUNGURAHUA;MOCHA;1%
BOLIVAR;ECHEANDIA;11%
SANTA ELENA;LA LIBERTAD;1%
CAÑAR;AZOGUES;2%
LOJA;MACARA;0%
CAÑAR;DELEG;3%
TUNGURAHUA;SAN PEDRO DE PELILEO;13%
LOJA;CATAMAYO;0%
CHIMBORAZO;CHAMBO;15%
TUNGURAHUA;AMBATO;17%
TUNGURAHUA;SANTIAGO DE PILLARO;3%
AZUAY;SEVILLA DE ORO;0%
AZUAY;PAUTE;1%
EL ORO;ATAHUALPA;0%
GUAYAS;DAULE;0%
CARCHI;MONTUFAR;1%
NAPO;QUIJOS;11%
CARCHI;SAN PEDRO DE HUACA;1%
NAPO;EL CHACO;21%
IMBABURA;ANTONIO ANTE;22%
CHIMBORAZO;RIOBAMBA;30%
EL ORO;MARCABELI;0%
PICHINCHA;MEJIA;15%
CHIMBORAZO;CUMANDA;6%
TUNGURAHUA;BAÑOS DE AGUA SANTA;3%
SUCUMBIOS;SUCUMBIOS;1%
AZUAY;CUENCA;1%
IMBABURA;IBARRA;9%
AZUAY;EL PAN;0%
AZUAY;OÑA;1%
LOJA;LOJA;2%
PICHINCHA;QUITO;5%
EL ORO;PIÑAS;0%
GUAYAS;CRNEL. MARCELINO MARIDUEÑA;1%
GALAPAGOS;SAN CRISTOBAL;9%
GALAPAGOS;SANTA CRUZ;10%
AZUAY;SAN FERNANDO;0%
TUNGURAHUA;CEVALLOS;3%
PICHINCHA;RUMIÐAHUI;2%
AZUAY;GUACHAPALA;1%
GALAPAGOS;ISABELA;4%
