provincia ;canton;area;asiste_a_educacion;numero_total_personas;ninguno;guarderia;educación_inicial;alfabetizacion;educacion_general_basica;bachillerato;postbachillerato;educacion_tecnica;educacion_superior;maestria;doctorado
El Oro;Huaquillas;Total Huaquillas;Asiste;17.896;;993;1.065;7;10.020;3.252;28;227;2.292;10;2
El Oro;Huaquillas;Total Huaquillas;No asiste;38.407;3.556;242;139;40;14.151;15.545;88;752;3.557;321;16
El Oro;Huaquillas;Urbana;Total Urbana;56.021;3.533;1.233;1.199;47;24.010;18.722;116;978;5.835;330;18
El Oro;Huaquillas;Urbana;Asiste;17.854;;991;1.061;7;9.998;3.246;28;227;2.284;10;2
El Oro;Huaquillas;Urbana;No asiste;38.167;3.533;242;138;40;14.012;15.476;88;751;3.551;320;16
El Oro;Huaquillas;Rural;Total Rural;282;23;2;5;;161;75;;1;14;1;
El Oro;Huaquillas;Rural;Asiste;42;;2;4;;22;6;;;8;;
El Oro;Huaquillas;Rural;No asiste;240;23;;1;;139;69;;1;6;1;
El Oro;Marcabelí;Total Marcabelí;Total Marcabelí;6.870;408;120;170;9;3.201;2.029;8;68;775;82;
El Oro;Marcabelí;Total Marcabelí;Asiste;2.080;;101;150;1;1.143;361;4;13;307;;
El Oro;Marcabelí;Total Marcabelí;No asiste;4.790;408;19;20;8;2.058;1.668;4;55;468;82;
El Oro;Marcabelí;Urbana;Total Urbana;4.973;290;88;125;4;2.148;1.541;8;61;633;75;
El Oro;Marcabelí;Urbana;Asiste;1.546;;77;110;1;841;269;4;12;232;;
El Oro;Marcabelí;Urbana;No asiste;3.427;290;11;15;3;1.307;1.272;4;49;401;75;
El Oro;Marcabelí;Rural;Total Rural;1.897;118;32;45;5;1.053;488;;7;142;7;
El Oro;Marcabelí;Rural;Asiste;534;;24;40;;302;92;;1;75;;
El Oro;Marcabelí;Rural;No asiste;1.363;118;8;5;5;751;396;;6;67;7;
El Oro;Pasaje;Total Pasaje;Total Pasaje;83.597;5.150;1.562;1.769;135;33.808;25.612;191;1.473;12.950;899;48
El Oro;Pasaje;Total Pasaje;Asiste;26.144;;1.323;1.584;3;13.549;4.462;45;296;4.856;25;1
El Oro;Pasaje;Total Pasaje;No asiste;57.453;5.150;239;185;132;20.259;21.150;146;1.177;8.094;874;47
El Oro;Pasaje;Urbana;Total Urbana;60.147;3.389;1.065;1.242;69;22.855;18.790;162;1.144;10.569;821;41
El Oro;Pasaje;Urbana;Asiste;18.819;;903;1.131;3;9.689;3.170;38;207;3.654;23;1
El Oro;Pasaje;Urbana;No asiste;41.328;3.389;162;111;66;13.166;15.620;124;937;6.915;798;40
El Oro;Pasaje;Rural;Total Rural;23.450;1.761;497;527;66;10.953;6.822;29;329;2.381;78;7
El Oro;Pasaje;Rural;Asiste;7.325;;420;453;;3.860;1.292;7;89;1.202;2;
El Oro;Pasaje;Rural;No asiste;16.125;1.761;77;74;66;7.093;5.530;22;240;1.179;76;7
El Oro;Piñas;Total Piñas;Total Piñas;29.406;1.290;530;561;44;13.003;8.776;71;487;4.195;426;23
El Oro;Piñas;Total Piñas;Asiste;8.496;;435;507;1;4.569;1.492;13;92;1.382;5;
El Oro;Piñas;Total Piñas;No asiste;20.910;1.290;95;54;43;8.434;7.284;58;395;2.813;421;23
El Oro;Piñas;Urbana;Total Urbana;18.482;766;294;400;11;6.902;5.969;58;390;3.296;375;21
El Oro;Piñas;Urbana;Asiste;5.594;;246;370;;2.939;978;13;72;971;5;
El Oro;Piñas;Urbana;No asiste;12.888;766;48;30;11;3.963;4.991;45;318;2.325;370;21
El Oro;Piñas;Rural;Total Rural;10.924;524;236;161;33;6.101;2.807;13;97;899;51;2
El Oro;Piñas;Rural;Asiste;2.902;;189;137;1;1.630;514;;20;411;;
El Oro;Piñas;Rural;No asiste;8.022;524;47;24;32;4.471;2.293;13;77;488;51;2
El Oro;Portovelo;Total Portovelo;Total Portovelo;13.556;795;306;307;28;5.896;4.554;91;233;1.231;109;6
El Oro;Portovelo;Total Portovelo;Asiste;3.958;;258;287;1;2.196;744;20;59;390;3;
El Oro;Portovelo;Total Portovelo;No asiste;9.598;795;48;20;27;3.700;3.810;71;174;841;106;6
El Oro;Portovelo;Urbana;Total Urbana;9.764;527;238;241;3;3.908;3.489;81;193;983;96;5
El Oro;Portovelo;Urbana;Asiste;2.932;;199;224;;1.596;544;16;50;301;2;
El Oro;Portovelo;Urbana;No asiste;6.832;527;39;17;3;2.312;2.945;65;143;682;94;5
El Oro;Portovelo;Rural;Total Rural;3.792;268;68;66;25;1.988;1.065;10;40;248;13;1
El Oro;Portovelo;Rural;Asiste;1.026;;59;63;1;600;200;4;9;89;1;
El Oro;Portovelo;Rural;No asiste;2.766;268;9;3;24;1.388;865;6;31;159;12;1
El Oro;Santa Rosa;Total Santa Rosa;Total Santa Rosa;80.299;4.723;1.816;1.855;79;32.926;23.665;296;1.779;12.242;871;47
El Oro;Santa Rosa;Total Santa Rosa;Asiste;25.242;;1.550;1.666;5;13.734;4.127;77;360;3.707;15;1
El Oro;Santa Rosa;Total Santa Rosa;No asiste;55.057;4.723;266;189;74;19.192;19.538;219;1.419;8.535;856;46
El Oro;Santa Rosa;Urbana;Total Urbana;56.842;3.235;1.219;1.306;46;21.642;17.076;212;1.366;9.966;735;39
El Oro;Santa Rosa;Urbana;Asiste;18.077;;1.034;1.168;4;9.707;2.961;52;265;2.874;11;1
El Oro;Santa Rosa;Urbana;No asiste;38.765;3.235;185;138;42;11.935;14.115;160;1.101;7.092;724;38
El Oro;Santa Rosa;Rural;Total Rural;23.457;1.488;597;549;33;11.284;6.589;84;413;2.276;136;8
El Oro;Santa Rosa;Rural;Asiste;7.165;;516;498;1;4.027;1.166;25;95;833;4;
El Oro;Santa Rosa;Rural;No asiste;16.292;1.488;81;51;32;7.257;5.423;59;318;1.443;132;8
El Oro;Zaruma;Total Zaruma;Total Zaruma;24.374;1.418;560;367;99;11.108;7.461;49;299;2.685;311;17
El Oro;Zaruma;Total Zaruma;Asiste;6.847;;422;335;3;3.830;1.296;15;60;878;7;1
El Oro;Zaruma;Total Zaruma;No asiste;17.527;1.418;138;32;96;7.278;6.165;34;239;1.807;304;16
El Oro;Zaruma;Urbana;Total Urbana;10.005;460;135;170;8;3.606;3.671;27;175;1.553;189;11
El Oro;Zaruma;Urbana;Asiste;2.790;;95;158;1;1.547;558;10;29;388;4;
El Oro;Zaruma;Urbana;No asiste;7.215;460;40;12;7;2.059;3.113;17;146;1.165;185;11
El Oro;Zaruma;Rural;Total Rural;14.369;958;425;197;91;7.502;3.790;22;124;1.132;122;6
El Oro;Zaruma;Rural;Asiste;4.057;;327;177;2;2.283;738;5;31;490;3;1
El Oro;Zaruma;Rural;No asiste;10.312;958;98;20;89;5.219;3.052;17;93;642;119;5
El Oro;Las Lajas;Total Las Lajas;Total Las Lajas;5.738;359;95;123;12;2.747;1.685;7;75;607;27;1
El Oro;Las Lajas;Total Las Lajas;Asiste;1.619;;83;115;;872;274;1;14;260;;
El Oro;Las Lajas;Total Las Lajas;No asiste;4.119;359;12;8;12;1.875;1.411;6;61;347;27;1
El Oro;Las Lajas;Urbana;Total Urbana;1.581;113;16;23;1;632;522;1;33;233;7;
El Oro;Las Lajas;Urbana;Asiste;462;;15;23;;235;101;;6;82;;
El Oro;Las Lajas;Urbana;No asiste;1.119;113;1;;1;397;421;1;27;151;7;
El Oro;Las Lajas;Rural;Total Rural;4.157;246;79;100;11;2.115;1.163;6;42;374;20;1
El Oro;Las Lajas;Rural;Asiste;1.157;;68;92;;637;173;1;8;178;;
El Oro;Las Lajas;Rural;No asiste;3.000;246;11;8;11;1.478;990;5;34;196;20;1
Esmeraldas;Total Esmeraldas;Total Esmeraldas;Total Esmeraldas;553.900;56.823;10.573;13.588;595;238.735;159.120;1.685;7.654;59.683;5.076;368
Esmeraldas;Total Esmeraldas;Urbana;Total Urbana;248.586;19.148;4.544;6.561;164;89.013;76.532;857;5.278;42.314;3.893;282
Esmeraldas;Total Esmeraldas;Urbana;Asiste;91.965;;3.610;6.019;29;50.020;15.551;310;1.671;14.668;78;9
Esmeraldas;Total Esmeraldas;Urbana;No asiste;156.621;19.148;934;542;135;38.993;60.981;547;3.607;27.646;3.815;273
Esmeraldas;Total Esmeraldas;Rural;Total Rural;305.314;37.675;6.029;7.027;431;149.722;82.588;828;2.376;17.369;1.183;86
Esmeraldas;Total Esmeraldas;Rural;Asiste;106.107;;4.851;6.162;69;67.095;19.067;269;801;7.751;38;4
Esmeraldas;Total Esmeraldas;Rural;No asiste;199.207;37.675;1.178;865;362;82.627;63.521;559;1.575;9.618;1.145;82
Esmeraldas;Esmeraldas;Total Esmeraldas;Total Esmeraldas;211.848;16.794;2.946;5.366;140;76.672;62.179;712;4.110;38.931;3.725;273
Esmeraldas;Esmeraldas;Total Esmeraldas;Asiste;78.597;;2.429;4.972;16;42.642;12.860;291;1.387;13.921;70;9
Esmeraldas;Esmeraldas;Total Esmeraldas;No asiste;133.251;16.794;517;394;124;34.030;49.319;421;2.723;25.010;3.655;264
Esmeraldas;Esmeraldas;Urbana;Total Urbana;155.487;10.821;2.051;3.908;72;51.479;46.474;578;3.497;33.183;3.193;231
Esmeraldas;Esmeraldas;Urbana;Asiste;57.739;;1.721;3.654;10;30.168;9.216;227;1.160;11.516;59;8
Esmeraldas;Esmeraldas;Urbana;No asiste;97.748;10.821;330;254;62;21.311;37.258;351;2.337;21.667;3.134;223
Esmeraldas;Esmeraldas;Rural;Total Rural;56.361;5.973;895;1.458;68;25.193;15.705;134;613;5.748;532;42
Esmeraldas;Esmeraldas;Rural;Asiste;20.858;;708;1.318;6;12.474;3.644;64;227;2.405;11;1
Esmeraldas;Esmeraldas;Rural;No asiste;35.503;5.973;187;140;62;12.719;12.061;70;386;3.343;521;41
Esmeraldas;Eloy Alfaro;Total Eloy Alfaro;Total Eloy Alfaro;46.305;6.316;1.322;1.161;74;21.650;13.022;140;352;2.181;87;
Esmeraldas;Eloy Alfaro;Total Eloy Alfaro;Asiste;16.922;;997;1.021;13;10.514;3.289;63;96;926;3;
Esmeraldas;Eloy Alfaro;Total Eloy Alfaro;No asiste;29.383;6.316;325;140;61;11.136;9.733;77;256;1.255;84;
Esmeraldas;Eloy Alfaro;Urbana;Total Urbana;4.956;460;165;193;3;1.922;1.678;9;69;441;16;
Esmeraldas;Eloy Alfaro;Urbana;Asiste;1.872;;122;173;;1.010;372;4;21;169;1;
Esmeraldas;Eloy Alfaro;Urbana;No asiste;3.084;460;43;20;3;912;1.306;5;48;272;15;
Esmeraldas;Eloy Alfaro;Rural;Total Rural;41.349;5.856;1.157;968;71;19.728;11.344;131;283;1.740;71;
Esmeraldas;Eloy Alfaro;Rural;Asiste;15.050;;875;848;13;9.504;2.917;59;75;757;2;
Esmeraldas;Eloy Alfaro;Rural;No asiste;26.299;5.856;282;120;58;10.224;8.427;72;208;983;69;
Esmeraldas;Muisne;Total Muisne;Total Muisne;36.426;4.757;672;924;30;18.513;9.618;79;157;1.605;69;2
Esmeraldas;Muisne;Total Muisne;Asiste;12.303;;501;817;10;8.143;2.091;28;55;656;2;
Esmeraldas;Muisne;Total Muisne;No asiste;24.123;4.757;171;107;20;10.370;7.527;51;102;949;67;2
Esmeraldas;Muisne;Urbana;Total Urbana;5.574;526;132;160;3;2.419;1.744;18;51;487;33;1
Esmeraldas;Muisne;Urbana;Asiste;1.798;;99;144;;1.076;315;8;22;133;1;
Esmeraldas;Muisne;Urbana;No asiste;3.776;526;33;16;3;1.343;1.429;10;29;354;32;1
Esmeraldas;Muisne;Rural;Total Rural;30.852;4.231;540;764;27;16.094;7.874;61;106;1.118;36;1
Esmeraldas;Muisne;Rural;Asiste;10.505;;402;673;10;7.067;1.776;20;33;523;1;
Esmeraldas;Muisne;Rural;No asiste;20.347;4.231;138;91;17;9.027;6.098;41;73;595;35;1
Esmeraldas;Quinindé;Total Quinindé;Total Quinindé;126.841;14.307;2.160;2.395;157;60.092;36.579;446;1.379;8.646;644;36
Esmeraldas;Quinindé;Total Quinindé;Asiste;41.663;;1.806;2.019;11;25.628;7.739;93;494;3.849;22;2
Esmeraldas;Quinindé;Total Quinindé;No asiste;85.178;14.307;354;376;146;34.464;28.840;353;885;4.797;622;34
Esmeraldas;Quinindé;Urbana;Total Urbana;31.120;2.481;772;713;18;11.685;10.322;142;632;3.975;361;19
Esmeraldas;Quinindé;Urbana;Asiste;11.037;;616;610;;5.985;2.039;24;226;1.527;9;1
Esmeraldas;Quinindé;Urbana;No asiste;20.083;2.481;156;103;18;5.700;8.283;118;406;2.448;352;18
Esmeraldas;Quinindé;Rural;Total Rural;95.721;11.826;1.388;1.682;139;48.407;26.257;304;747;4.671;283;17
Esmeraldas;Quinindé;Rural;Asiste;30.626;;1.190;1.409;11;19.643;5.700;69;268;2.322;13;1
Esmeraldas;Quinindé;Rural;No asiste;65.095;11.826;198;273;128;28.764;20.557;235;479;2.349;270;16
Esmeraldas;San Lorenzo;Total San Lorenzo;Total San Lorenzo;48.391;5.948;1.373;1.458;97;20.684;14.524;87;1.054;2.929;220;17
Esmeraldas;San Lorenzo;Total San Lorenzo;Asiste;18.139;;1.001;1.299;31;11.184;3.410;36;236;932;10;
Esmeraldas;San Lorenzo;Total San Lorenzo;No asiste;30.252;5.948;372;159;66;9.500;11.114;51;818;1.997;210;17
Esmeraldas;San Lorenzo;Urbana;Total Urbana;28.491;2.857;793;885;62;11.361;9.133;70;808;2.331;178;13
Esmeraldas;San Lorenzo;Urbana;Asiste;10.714;;533;801;16;6.428;2.096;31;159;644;6;
Esmeraldas;San Lorenzo;Urbana;No asiste;17.777;2.857;260;84;46;4.933;7.037;39;649;1.687;172;13
Esmeraldas;San Lorenzo;Rural;Total Rural;19.900;3.091;580;573;35;9.323;5.391;17;246;598;42;4
Esmeraldas;San Lorenzo;Rural;Asiste;7.425;;468;498;15;4.756;1.314;5;77;288;4;
Esmeraldas;San Lorenzo;Rural;No asiste;12.475;3.091;112;75;20;4.567;4.077;12;169;310;38;4
Esmeraldas;Atacames;Total Atacames;Total Atacames;51.204;5.143;1.143;1.487;37;23.367;15.198;108;427;3.991;278;25
Esmeraldas;Atacames;Total Atacames;Asiste;19.116;;939;1.350;4;11.660;3.415;44;146;1.555;3;
Esmeraldas;Atacames;Total Atacames;No asiste;32.088;5.143;204;137;33;11.707;11.783;64;281;2.436;275;25
Esmeraldas;Atacames;Urbana;Total Urbana;18.948;1.640;498;585;1;8.331;5.943;36;177;1.631;94;12
Esmeraldas;Atacames;Urbana;Asiste;7.348;;413;531;;4.481;1.269;14;65;574;1;
Esmeraldas;Atacames;Urbana;No asiste;11.600;1.640;85;54;1;3.850;4.674;22;112;1.057;93;12
Esmeraldas;Atacames;Rural;Total Rural;32.256;3.503;645;902;36;15.036;9.255;72;250;2.360;184;13
Esmeraldas;Atacames;Rural;Asiste;11.768;;526;819;4;7.179;2.146;30;81;981;2;
Esmeraldas;Atacames;Rural;No asiste;20.488;3.503;119;83;32;7.857;7.109;42;169;1.379;182;13
Esmeraldas;Rioverde;Total Rioverde;Total Rioverde;32.885;3.558;957;797;60;17.757;8.000;113;175;1.400;53;15
Esmeraldas;Rioverde;Total Rioverde;Asiste;11.332;;788;703;13;7.344;1.814;24;58;580;6;2
Esmeraldas;Rioverde;Total Rioverde;No asiste;21.553;3.558;169;94;47;10.413;6.186;89;117;820;47;13
Esmeraldas;Rioverde;Urbana;Total Urbana;4.010;363;133;117;5;1.816;1.238;4;44;266;18;6
Esmeraldas;Rioverde;Urbana;Asiste;1.457;;106;106;3;872;244;2;18;105;1;
Esmeraldas;Rioverde;Urbana;No asiste;2.553;363;27;11;2;944;994;2;26;161;17;6
Esmeraldas;Rioverde;Rural;Total Rural;28.875;3.195;824;680;55;15.941;6.762;109;131;1.134;35;9
Esmeraldas;Rioverde;Rural;Asiste;9.875;;682;597;10;6.472;1.570;22;40;475;5;2
Esmeraldas;Rioverde;Rural;No asiste;19.000;3.195;142;83;45;9.469;5.192;87;91;659;30;7
Guayas;Total Guayas;Total Guayas;Total Guayas;4.391.923;325.167;53.555;84.270;4.688;1.685.960;1.333.685;18.783;86.440;728.942;65.943;4.490
Guayas;Total Guayas;Urbana;Total Urbana;3.744.462;253.708;41.623;71.786;2.751;1.344.435;1.168.476;17.214;81.190;694.463;64.382;4.434
Guayas;Total Guayas;Urbana;Asiste;1.198.015;;35.609;65.230;289;616.032;195.541;3.655;22.334;257.645;1.558;122
Guayas;Total Guayas;Urbana;No asiste;2.546.447;253.708;6.014;6.556;2.462;728.403;972.935;13.559;58.856;436.818;62.824;4.312
Guayas;Total Guayas;Rural;Total Rural;647.461;71.459;11.932;12.484;1.937;341.525;165.209;1.569;5.250;34.479;1.561;56
Guayas;Total Guayas;Rural;Asiste;194.191;;9.810;10.723;83;119.157;33.844;395;1.713;18.415;47;4
Guayas;Total Guayas;Rural;No asiste;453.270;71.459;2.122;1.761;1.854;222.368;131.365;1.174;3.537;16.064;1.514;52
Guayas;Guayaquil;Total Guayaquil;Total Guayaquil;2.746.403;178.541;30.786;51.713;1.671;981.523;876.483;12.181;60.310;509.230;41.051;2.914
Guayas;Guayaquil;Total Guayaquil;Asiste;872.622;;26.588;47.031;207;445.140;142.291;2.573;17.540;190.197;979;76
Guayas;Guayaquil;Total Guayaquil;No asiste;1.873.781;178.541;4.198;4.682;1.464;536.383;734.192;9.608;42.770;319.033;40.072;2.838
Guayas;Guayaquil;Urbana;Total Urbana;2.650.288;169.038;28.782;49.549;1.493;933.092;849.812;12.014;59.312;503.483;40.810;2.903
Guayas;Guayaquil;Urbana;Asiste;841.613;;24.867;45.122;190;426.432;137.205;2.513;17.196;187.039;973;76
Guayas;Guayaquil;Urbana;No asiste;1.808.675;169.038;3.915;4.427;1.303;506.660;712.607;9.501;42.116;316.444;39.837;2.827
Guayas;Guayaquil;Rural;Total Rural;96.115;9.503;2.004;2.164;178;48.431;26.671;167;998;5.747;241;11
Guayas;Guayaquil;Rural;Asiste;31.009;;1.721;1.909;17;18.708;5.086;60;344;3.158;6;
Guayas;Guayaquil;Rural;No asiste;65.106;9.503;283;255;161;29.723;21.585;107;654;2.589;235;11
Guayas;Alfredo Baquerizo Moreno (Juján);Total Alfredo Baquerizo Moreno (Juján);Total Alfredo Baquerizo Moreno (Juján);25.526;3.038;169;466;38;12.481;7.266;99;247;1.639;80;3
Guayas;Alfredo Baquerizo Moreno (Juján);Total Alfredo Baquerizo Moreno (Juján);Asiste;6.849;;139;383;2;4.264;1.255;18;55;733;;
Guayas;Alfredo Baquerizo Moreno (Juján);Total Alfredo Baquerizo Moreno (Juján);No asiste;18.677;3.038;30;83;36;8.217;6.011;81;192;906;80;3
Guayas;Alfredo Baquerizo Moreno (Juján);Urbana;Total Urbana;6.035;532;71;124;1;2.357;2.027;9;124;742;45;3
Guayas;Alfredo Baquerizo Moreno (Juján);Urbana;Asiste;1.714;;58;113;;895;312;2;24;310;;
Guayas;Alfredo Baquerizo Moreno (Juján);Urbana;No asiste;4.321;532;13;11;1;1.462;1.715;7;100;432;45;3
Guayas;Alfredo Baquerizo Moreno (Juján);Rural;Total Rural;19.491;2.506;98;342;37;10.124;5.239;90;123;897;35;
Guayas;Alfredo Baquerizo Moreno (Juján);Rural;Asiste;5.135;;81;270;2;3.369;943;16;31;423;;
Guayas;Alfredo Baquerizo Moreno (Juján);Rural;No asiste;14.356;2.506;17;72;35;6.755;4.296;74;92;474;35;
Guayas;Balao;Total Balao;Total Balao;25.655;2.389;519;604;39;13.370;6.850;27;176;1.611;68;2
Guayas;Balao;Total Balao;Asiste;8.262;;425;531;2;4.951;1.371;9;59;914;;
Guayas;Balao;Total Balao;No asiste;17.393;2.389;94;73;37;8.419;5.479;18;117;697;68;2
Guayas;Balao;Urbana;Total Urbana;12.850;1.032;310;332;21;6.448;3.606;7;93;954;45;2
Guayas;Balao;Urbana;Asiste;4.355;;252;302;;2.526;720;1;34;520;;
Guayas;Balao;Urbana;No asiste;8.495;1.032;58;30;21;3.922;2.886;6;59;434;45;2
Guayas;Balao;Rural;Total Rural;12.805;1.357;209;272;18;6.922;3.244;20;83;657;23;
Guayas;Balao;Rural;Asiste;3.907;;173;229;2;2.425;651;8;25;394;;
Guayas;Balao;Rural;No asiste;8.898;1.357;36;43;16;4.497;2.593;12;58;263;23;
Guayas;Balzar;Total Balzar;Total Balzar;57.829;6.661;1.488;1.103;286;28.280;15.867;145;502;3.281;209;7
Guayas;Balzar;Total Balzar;Asiste;18.220;;1.139;921;1;11.314;3.243;47;136;1.418;1;
Guayas;Balzar;Total Balzar;No asiste;39.609;6.661;349;182;285;16.966;12.624;98;366;1.863;208;7
Guayas;Balzar;Urbana;Total Urbana;32.744;3.493;815;688;102;14.365;9.958;86;386;2.662;186;3
Guayas;Balzar;Urbana;Asiste;10.804;;607;588;;6.500;1.887;35;90;1.096;1;
Guayas;Balzar;Urbana;No asiste;21.940;3.493;208;100;102;7.865;8.071;51;296;1.566;185;3
Guayas;Balzar;Rural;Total Rural;25.085;3.168;673;415;184;13.915;5.909;59;116;619;23;4
Guayas;Balzar;Rural;Asiste;7.416;;532;333;1;4.814;1.356;12;46;322;;
Guayas;Balzar;Rural;No asiste;17.669;3.168;141;82;183;9.101;4.553;47;70;297;23;4
Guayas;Colimes;Total Colimes;Total Colimes;26.251;3.100;836;415;81;14.416;5.979;51;225;1.103;43;2
Guayas;Colimes;Total Colimes;Asiste;7.949;;650;359;9;4.956;1.297;19;77;581;1;
Guayas;Colimes;Total Colimes;No asiste;18.302;3.100;186;56;72;9.460;4.682;32;148;522;42;2
Guayas;Colimes;Urbana;Total Urbana;7.619;652;226;148;11;3.603;2.183;17;94;652;31;2
Guayas;Colimes;Urbana;Asiste;2.631;;178;130;3;1.537;411;8;28;335;1;
Guayas;Colimes;Urbana;No asiste;4.988;652;48;18;8;2.066;1.772;9;66;317;30;2
Guayas;Colimes;Rural;Total Rural;18.632;2.448;610;267;70;10.813;3.796;34;131;451;12;
Guayas;Colimes;Rural;Asiste;5.318;;472;229;6;3.419;886;11;49;246;;
Guayas;Colimes;Rural;No asiste;13.314;2.448;138;38;64;7.394;2.910;23;82;205;12;
Guayas;Daule;Total Daule;Total Daule;222.446;16.163;2.127;4.616;370;76.229;51.920;834;6.901;52.248;10.411;627
Guayas;Daule;Total Daule;Asiste;70.045;;1.766;4.174;11;37.331;11.293;161;1.622;13.472;186;29
Guayas;Daule;Total Daule;No asiste;152.401;16.163;361;442;359;38.898;40.627;673;5.279;38.776;10.225;598
Guayas;Daule;Urbana;Total Urbana;161.498;9.436;1.100;3.496;89;43.015;36.850;688;6.115;49.818;10.271;620
Guayas;Daule;Urbana;Asiste;53.141;;896;3.239;9;26.905;8.141;129;1.358;12.250;185;29
Guayas;Daule;Urbana;No asiste;108.357;9.436;204;257;80;16.110;28.709;559;4.757;37.568;10.086;591
Guayas;Daule;Rural;Total Rural;60.948;6.727;1.027;1.120;281;33.214;15.070;146;786;2.430;140;7
Guayas;Daule;Rural;Asiste;16.904;;870;935;2;10.426;3.152;32;264;1.222;1;
Guayas;Daule;Rural;No asiste;44.044;6.727;157;185;279;22.788;11.918;114;522;1.208;139;7
Guayas;Durán;Total Durán;Total Durán;303.910;22.909;2.874;6.210;261;112.890;100.605;1.425;6.531;47.480;2.586;139
Guayas;Durán;Total Durán;Asiste;99.460;;2.480;5.637;22;52.837;16.848;333;1.754;19.444;101;4
Guayas;Durán;Total Durán;No asiste;204.450;22.909;394;573;239;60.053;83.757;1.092;4.777;28.036;2.485;135
Guayas;Durán;Urbana;Total Urbana;295.211;21.952;2.738;5.990;241;109.089;98.594;1.384;6.412;46.261;2.414;136
Guayas;Durán;Urbana;Asiste;96.672;;2.352;5.447;22;51.190;16.409;322;1.727;19.105;94;4
Guayas;Durán;Urbana;No asiste;198.539;21.952;386;543;219;57.899;82.185;1.062;4.685;27.156;2.320;132
Guayas;Durán;Rural;Total Rural;8.699;957;136;220;20;3.801;2.011;41;119;1.219;172;3
Guayas;Durán;Rural;Asiste;2.788;;128;190;;1.647;439;11;27;339;7;
Guayas;Durán;Rural;No asiste;5.911;957;8;30;20;2.154;1.572;30;92;880;165;3
Guayas;El Empalme;Total El Empalme;Total El Empalme;79.767;8.698;1.218;1.457;239;40.135;20.814;181;500;6.165;341;19
Guayas;El Empalme;Total El Empalme;Asiste;24.556;;1.029;1.308;5;15.182;4.222;74;188;2.532;14;2
Guayas;El Empalme;Total El Empalme;No asiste;55.211;8.698;189;149;234;24.953;16.592;107;312;3.633;327;17
Guayas;El Empalme;Urbana;Total Urbana;41.778;3.962;662;834;103;18.609;12.221;103;320;4.658;289;17
Guayas;El Empalme;Urbana;Asiste;13.709;;555;761;3;8.072;2.362;47;108;1.790;10;1
Guayas;El Empalme;Urbana;No asiste;28.069;3.962;107;73;100;10.537;9.859;56;212;2.868;279;16
Guayas;El Empalme;Rural;Total Rural;37.989;4.736;556;623;136;21.526;8.593;78;180;1.507;52;2
Guayas;El Empalme;Rural;Asiste;10.847;;474;547;2;7.110;1.860;27;80;742;4;1
Guayas;El Empalme;Rural;No asiste;27.142;4.736;82;76;134;14.416;6.733;51;100;765;48;1
Guayas;El Triunfo;Total El Triunfo;Total El Triunfo;60.541;6.243;878;1.457;93;29.005;16.854;363;561;4.755;323;9
Guayas;El Triunfo;Total El Triunfo;Asiste;19.560;;695;1.272;8;12.064;3.320;68;134;1.989;10;
Guayas;El Triunfo;Total El Triunfo;No asiste;40.981;6.243;183;185;85;16.941;13.534;295;427;2.766;313;9
Guayas;El Triunfo;Urbana;Total Urbana;41.042;3.946;673;1.032;66;18.864;11.660;308;435;3.782;269;7
Guayas;El Triunfo;Urbana;Asiste;13.596;;523;896;6;8.175;2.253;57;95;1.582;9;
Guayas;El Triunfo;Urbana;No asiste;27.446;3.946;150;136;60;10.689;9.407;251;340;2.200;260;7
Guayas;El Triunfo;Rural;Total Rural;19.499;2.297;205;425;27;10.141;5.194;55;126;973;54;2
Guayas;El Triunfo;Rural;Asiste;5.964;;172;376;2;3.889;1.067;11;39;407;1;
Guayas;El Triunfo;Rural;No asiste;13.535;2.297;33;49;25;6.252;4.127;44;87;566;53;2
Guayas;Milagro;Total Milagro;Total Milagro;195.943;16.531;1.573;3.507;158;77.669;56.796;1.463;2.444;32.513;3.131;158
Guayas;Milagro;Total Milagro;Asiste;62.063;;1.278;3.133;33;33.429;10.127;273;434;13.245;105;6
Guayas;Milagro;Total Milagro;No asiste;133.880;16.531;295;374;125;44.240;46.669;1.190;2.010;19.268;3.026;152
Guayas;Milagro;Urbana;Total Urbana;159.970;13.034;1.186;2.883;114;59.777;47.299;1.277;2.169;29.124;2.958;149
Guayas;Milagro;Urbana;Asiste;51.044;;981;2.571;22;26.956;8.262;236;379;11.531;100;6
Guayas;Milagro;Urbana;No asiste;108.926;13.034;205;312;92;32.821;39.037;1.041;1.790;17.593;2.858;143
Guayas;Milagro;Rural;Total Rural;35.973;3.497;387;624;44;17.892;9.497;186;275;3.389;173;9
Guayas;Milagro;Rural;Asiste;11.019;;297;562;11;6.473;1.865;37;55;1.714;5;
Guayas;Milagro;Rural;No asiste;24.954;3.497;90;62;33;11.419;7.632;149;220;1.675;168;9
Guayas;Naranjal;Total Naranjal;Total Naranjal;83.691;9.306;851;1.853;86;40.424;22.736;340;784;6.943;347;21
Guayas;Naranjal;Total Naranjal;Asiste;26.223;;684;1.623;;15.503;4.286;46;179;3.892;10;
Guayas;Naranjal;Total Naranjal;No asiste;57.468;9.306;167;230;86;24.921;18.450;294;605;3.051;337;21
Guayas;Naranjal;Urbana;Total Urbana;39.323;4.062;364;907;32;17.543;11.317;208;527;4.065;282;16
