provincia;canton;ambarazo_adolescente
CAÑAR;BIBLIAN;19,6
TUNGURAHUA;TISALEO;25,3
GUAYAS;GUAYAQUIL;21,3
LOS RIOS;MONTALVO;22,5
CARCHI;BOLIVAR;22,9
CHIMBORAZO;PENIPE;19,0
CARCHI;MIRA;21,5
EL ORO;BALSAS;20,3
BOLIVAR;CALUMA;29,1
IMBABURA;SAN MIGUEL DE URCUQUI;17,7
EL ORO;LAS LAJAS;24,0
MANABI;ROCAFUERTE;23,4
AZUAY;CHORDELEG;25,1
EL ORO;MACHALA;22,1
CARCHI;TULCAN;22,6
CARCHI;ESPEJO;21,9
MANABI;PORTOVIEJO;23,4
GUAYAS;DURAN;18,0
MANABI;MANTA;23,4
COTOPAXI;LATACUNGA;21,0
EL ORO;CHILLA;23,0
EL ORO;PORTOVELO;25,9
TUNGURAHUA;QUERO;17,8
TUNGURAHUA;MOCHA;20,2
BOLIVAR;ECHEANDIA;23,3
SANTA ELENA;LA LIBERTAD;27,3
CAÑAR;AZOGUES;22,5
LOJA;MACARA;20,3
CAÑAR;DELEG;17,7
TUNGURAHUA;SAN PEDRO DE PELILEO;15,8
LOJA;CATAMAYO;21,8
CHIMBORAZO;CHAMBO;21,1
TUNGURAHUA;AMBATO;20,4
TUNGURAHUA;SANTIAGO DE PILLARO;16,4
AZUAY;SEVILLA DE ORO;18,0
AZUAY;PAUTE;18,5
EL ORO;ATAHUALPA;16,8
GUAYAS;DAULE;18,2
CARCHI;MONTUFAR;18,7
NAPO;QUIJOS;15,5
CARCHI;SAN PEDRO DE HUACA;22,3
NAPO;EL CHACO;15,1
IMBABURA;ANTONIO ANTE;16,6
CHIMBORAZO;RIOBAMBA;17,8
EL ORO;MARCABELI;22,5
PICHINCHA;MEJIA;15,0
CHIMBORAZO;CUMANDA;19,4
TUNGURAHUA;BAÑOS DE AGUA SANTA;19,8
SUCUMBIOS;SUCUMBIOS;9,3
AZUAY;CUENCA;15,6
IMBABURA;IBARRA;17,2
AZUAY;EL PAN;14,2
AZUAY;OÑA;6,7
LOJA;LOJA;16,1
PICHINCHA;QUITO;14,2
EL ORO;PIÑAS;11,3
GUAYAS;CRNEL. MARCELINO MARIDUEÑA;10,7
GALAPAGOS;SAN CRISTOBAL;13,8
GALAPAGOS;SANTA CRUZ;10,4
AZUAY;SAN FERNANDO;6,2
TUNGURAHUA;CEVALLOS;12,9
PICHINCHA;RUMIÐAHUI;12,7
AZUAY;GUACHAPALA;3,0
GALAPAGOS;ISABELA;8,6
